unit code,surgery type,cat,total period 1,total period 2,total period 3,total period 4,total period 5,total period 6,total period 7,total period 8,total period 9,total period 10,total period 11,total period 12,total period 13,total period 14,total period 15,total period 16,total period 17,total period 18,total period 19,total period 20,total period 21,total period 22,total period 23,total period 24,total period 25,total period 26,total period 27,total period 28,overdue period 1,overdue period 2,overdue period 3,overdue period 4,overdue period 5,overdue period 6,overdue period 7,overdue period 8,overdue period 9,overdue period 10,overdue period 11,overdue period 12,overdue period 13,overdue period 14,overdue period 15,overdue period 16,overdue period 17,overdue period 18,overdue period 19,overdue period 20,overdue period 21,overdue period 22,overdue period 23,overdue period 24,overdue period 25,overdue period 26,overdue period 27,overdue period 28
13,DEN3cluster-1,3,62,63,63,63,64,64,65,65,65,64,64,64,64,65,65,66,66,66,66,67,67,67,67,67,67,67,67,67,18,18,18,18,18,18,19,20,20,19,19,20,20,20,20,20,21,21,21,22,22,22,23,24,24,25,25,25
13,DEN3cluster-2,3,57,58,59,59,59,59,59,59,59,59,59,59,60,60,60,60,60,60,60,61,61,61,62,63,63,63,63,63,12,13,13,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
13,DEN3cluster-3,3,62,63,63,64,65,65,65,66,66,66,66,66,66,67,67,67,67,67,67,67,67,67,67,68,69,69,69,69,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
14,DER1cluster-1,1,2,2,2,2,2,2,2,2,0,0,0,0,1,1,1,1,2,2,2,3,4,4,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,DER1cluster-2,1,4,4,4,4,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,2,2,3,3,3,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,DER1cluster-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,DER2cluster-1,2,28,28,28,31,31,31,33,34,34,34,34,35,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,8,8,8,8,8,8,9,9,9,9,9,9,9,10,11,11,11,11,11,11,11,12,12,12,13,13,13,13
14,DER2cluster-2,2,25,25,26,26,26,27,27,29,29,29,29,30,30,30,30,30,31,31,31,31,31,31,31,31,31,31,31,31,9,9,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12
14,DER2cluster-3,2,23,23,23,24,25,26,27,27,27,27,28,28,24,24,24,24,24,24,21,21,21,23,23,23,28,28,28,28,10,10,10,10,10,10,10,10,10,10,10,10,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,5
14,DER3cluster-1,3,53,53,53,54,54,55,55,56,56,56,57,57,57,57,57,57,58,58,58,59,61,61,62,63,63,63,63,63,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,13
14,DER3cluster-2,3,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,64,65,65,65,65,65,65,65,65,14,14,15,15,15,15,15,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,19,19,19,20,20
14,DER3cluster-3,3,65,66,66,66,66,68,68,69,69,69,69,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,16,16,16,16,16,16
15,GAS1cluster-1,1,2,5,5,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,GAS1cluster-2,1,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,3,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,GAS1cluster-3,1,3,3,3,4,4,3,4,4,4,4,4,3,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,GAS2cluster-1,2,23,23,24,24,25,26,26,26,26,26,27,28,28,28,28,31,32,32,32,32,33,33,33,35,35,35,35,35,4,6,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,10,11,11,12,12,13,13,14,15,15,15
15,GAS2cluster-2,2,28,29,29,31,32,33,33,34,34,34,34,35,36,37,37,37,38,38,38,38,39,40,40,40,40,40,40,40,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,10,10,10,12,12,12
15,GAS2cluster-3,2,20,20,20,22,22,23,24,24,24,24,24,24,25,25,25,26,26,26,26,26,27,27,27,27,27,27,27,27,2,2,2,3,3,3,3,4,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7
15,GAS3cluster-1,3,63,63,64,65,66,66,67,67,67,67,70,70,70,70,70,70,70,70,70,71,71,71,72,72,72,72,72,72,8,8,9,9,9,9,9,9,9,10,10,10,10,10,11,11,11,11,12,12,12,12,12,12,12,12,13,13
15,GAS3cluster-2,3,78,79,80,77,77,75,75,75,75,75,75,70,67,67,67,67,67,67,65,62,62,62,62,63,63,60,57,57,15,16,17,14,14,12,12,12,12,13,13,9,6,6,7,8,9,9,7,4,5,5,6,6,6,3,0,0
15,GAS3cluster-3,3,61,61,61,61,61,61,61,61,61,61,61,62,62,62,62,62,62,62,62,62,63,63,63,63,63,63,63,63,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15
16,GNS1cluster-1,1,2,2,2,2,2,2,2,2,2,2,2,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,GNS1cluster-2,1,3,3,3,3,3,3,3,4,4,3,4,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,GNS1cluster-3,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,GNS2cluster-1,2,15,15,16,16,16,16,16,17,17,17,17,18,18,19,20,21,22,22,22,22,24,24,26,26,26,26,26,26,4,5,5,5,5,6,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8
16,GNS2cluster-2,2,16,17,17,18,18,18,18,20,20,20,20,20,22,22,22,22,22,22,22,22,23,23,24,24,24,24,24,24,8,8,8,8,8,8,8,8,8,8,9,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
16,GNS2cluster-3,2,27,27,27,28,28,28,29,29,29,29,31,33,33,34,35,36,36,36,36,36,36,37,38,39,39,39,39,39,11,11,11,11,11,12,12,12,13,13,13,13,13,13,13,13,14,15,16,16,16,16,16,16,16,16,17,17
16,GNS3cluster-1,3,70,70,70,71,71,71,71,71,71,71,71,71,71,72,72,73,73,73,73,73,74,74,75,76,76,76,76,76,7,8,8,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,11,11,12,12,12,14,14,14,14
16,GNS3cluster-2,3,60,60,62,62,62,62,62,62,62,62,62,62,60,62,63,63,63,63,63,64,64,64,64,64,64,64,64,64,10,10,10,10,10,10,12,12,12,12,13,13,12,12,12,12,12,12,12,12,12,13,13,14,14,14,15,15
16,GNS3cluster-3,3,73,73,73,73,75,75,77,78,78,77,77,78,77,77,77,79,79,75,75,72,72,72,73,75,69,69,69,69,13,14,14,14,15,15,15,15,15,14,12,12,12,12,12,12,12,8,8,5,5,6,6,6,0,0,1,1
17,GYN1cluster-1,1,2,2,2,2,2,2,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,GYN1cluster-2,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,3,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,GYN1cluster-3,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,GYN2cluster-1,2,30,30,30,30,30,30,30,31,31,31,31,31,31,31,33,33,34,34,34,34,35,36,37,38,38,38,38,38,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,14,14,14,14,15,15,15,15,15,15,15,15
17,GYN2cluster-2,2,20,20,20,20,20,20,21,21,21,21,21,22,22,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26,5,6,6,6,6,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,10,10,10,10,10
17,GYN2cluster-3,2,23,25,25,25,25,25,25,25,25,25,24,24,24,25,26,25,26,26,25,24,24,24,24,24,24,24,22,22,6,6,6,6,7,7,7,7,7,7,4,5,5,5,5,3,3,3,2,1,1,2,2,1,1,1,0,0
17,GYN3cluster-1,3,77,78,80,80,80,80,80,80,80,80,80,80,80,80,80,81,81,81,81,81,81,82,83,83,84,84,84,84,18,18,20,20,20,22,22,22,22,22,22,22,22,22,22,23,23,23,23,24,24,24,24,24,24,24,24,25
17,GYN3cluster-2,3,61,63,63,63,63,63,63,63,63,63,64,64,64,65,65,65,67,67,67,69,70,70,71,71,71,71,71,71,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,12
17,GYN3cluster-3,3,75,71,71,71,68,70,71,71,67,65,63,63,65,66,66,67,67,67,67,66,66,66,67,65,65,65,65,65,13,11,11,11,8,9,9,9,5,3,1,1,1,1,2,2,2,2,2,1,1,1,1,0,0,0,0,0
18,NS1cluster-1,1,2,2,2,2,3,3,4,4,4,4,2,0,0,1,1,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,NS1cluster-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,NS1cluster-3,1,6,4,4,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,NS2cluster-1,2,21,21,21,17,16,16,17,19,19,19,20,20,20,21,21,22,23,23,23,24,25,25,25,26,27,22,22,22,7,7,7,4,3,3,3,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0
18,NS2cluster-2,2,24,25,25,25,25,25,25,26,26,26,26,26,26,26,26,27,27,27,27,28,28,30,31,32,32,32,32,32,4,6,6,6,6,6,7,7,7,7,7,7,7,7,8,9,9,9,9,9,9,9,10,10,10,10,10,10
18,NS2cluster-3,2,26,26,29,30,30,30,30,30,28,28,28,29,29,29,29,27,26,26,26,26,27,27,26,25,25,25,25,25,6,6,6,6,5,6,6,6,4,4,4,6,6,6,6,4,2,2,2,2,2,2,0,0,0,0,1,1
18,NS3cluster-1,3,77,78,79,79,80,80,80,80,80,80,80,81,81,81,81,82,83,83,83,83,83,84,84,84,84,84,84,84,22,23,23,23,24,25,25,25,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
18,NS3cluster-2,3,61,62,62,62,62,63,63,63,63,63,63,64,64,64,64,64,64,64,64,64,64,65,65,65,66,66,66,66,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,13,13,14,15,15,15,15,15,15,15,15,15,15
18,NS3cluster-3,3,66,63,63,62,60,61,61,61,59,59,57,57,57,59,61,60,59,59,58,58,58,58,57,54,54,52,52,52,15,12,12,10,7,9,10,10,8,9,7,7,7,9,9,8,7,7,7,7,7,7,6,3,2,0,0,0
19,EYE1cluster-1,1,2,2,2,2,3,3,3,4,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,4,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,EYE1cluster-2,1,0,0,0,0,1,2,3,3,3,3,3,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,EYE1cluster-3,1,7,7,8,8,8,8,9,9,9,7,7,8,8,8,8,8,9,9,9,9,9,9,9,9,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,EYE2cluster-1,2,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,24,24,24,24,24,24,24,7,8,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11
19,EYE2cluster-2,2,22,22,23,23,23,23,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14
19,EYE2cluster-3,2,27,28,28,28,28,28,29,30,30,30,30,30,32,32,33,33,33,33,33,33,33,33,34,36,36,36,36,36,6,6,7,7,8,8,8,8,8,8,8,8,8,8,9,10,11,11,11,11,11,11,11,11,13,13,13,13
19,EYE3cluster-1,3,75,75,75,75,75,75,76,76,75,74,74,75,75,76,76,75,74,74,74,74,74,76,75,71,68,68,68,68,12,12,12,12,13,13,13,13,12,11,11,12,12,12,12,10,9,9,9,9,9,9,8,4,1,3,4,4
19,EYE3cluster-2,3,78,78,78,78,78,79,80,81,80,80,80,80,80,80,81,81,79,79,79,79,79,80,80,81,81,81,81,81,15,16,16,17,18,18,18,18,17,18,18,18,18,18,19,20,18,18,19,19,19,20,20,20,21,21,21,21
19,EYE3cluster-3,3,73,73,73,73,73,73,73,73,73,73,73,73,74,74,74,74,74,74,74,74,74,75,75,77,77,77,77,77,11,12,12,12,12,12,12,12,12,12,12,13,13,13,14,14,14,15,15,15,15,15,15,15,15,15,15,15
20,ORT1cluster-1,1,3,3,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,ORT1cluster-2,1,4,4,4,5,5,5,5,5,5,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,ORT1cluster-3,1,5,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,ORT2cluster-1,2,31,29,27,27,27,24,25,25,22,21,21,23,22,22,23,23,21,21,21,20,21,21,21,21,23,23,21,21,10,9,7,8,9,6,6,7,4,3,3,4,4,4,5,5,2,3,3,1,1,1,0,0,0,1,0,0
20,ORT2cluster-2,2,26,26,26,26,27,27,28,28,28,28,28,29,30,31,32,31,33,33,33,35,35,36,36,33,34,34,34,34,6,6,6,6,7,7,8,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,8,8,8,8,8
20,ORT2cluster-3,2,25,25,25,25,25,25,25,25,25,25,26,26,27,28,28,28,28,28,28,24,24,24,25,25,25,25,21,21,4,4,4,4,4,4,4,4,4,4,5,5,5,5,6,6,6,6,6,2,2,2,3,3,4,4,0,0
20,ORT3cluster-1,3,68,68,68,68,68,68,68,68,68,68,69,71,72,72,72,72,73,73,73,74,74,74,75,75,75,75,75,75,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22,22,22,22,22,22,23,23,23,23,23,24,24
20,ORT3cluster-2,3,50,51,48,48,49,51,52,52,52,52,52,52,52,52,53,50,50,50,50,50,50,51,50,50,50,50,50,50,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,1,1,1,1,1,1
20,ORT3cluster-3,3,73,74,75,75,75,75,76,76,76,76,76,76,77,77,77,78,78,78,78,79,79,79,79,81,82,82,82,82,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9
21,ENT1cluster-1,1,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,ENT1cluster-2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,ENT1cluster-3,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,ENT2cluster-1,2,20,22,22,23,24,25,25,25,25,25,26,27,27,29,30,24,25,25,25,25,25,26,27,27,28,28,25,25,4,4,5,5,5,5,5,5,5,5,5,5,5,5,6,1,1,1,1,1,2,3,3,3,3,3,0,0
21,ENT2cluster-2,2,29,29,29,29,31,31,31,31,31,31,31,31,31,32,33,33,36,36,36,36,38,39,39,39,39,39,39,39,9,9,10,10,10,10,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,13,13,13,14,14,15,15
21,ENT2cluster-3,2,23,23,23,23,20,20,20,21,21,21,21,21,21,24,24,25,25,25,19,19,21,21,21,21,21,21,21,21,3,3,4,4,1,1,1,1,2,3,3,3,3,3,3,4,4,4,0,0,0,0,0,0,0,0,0,0
